26-50, *, *, Higher Education, *, Not Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Transport-moving, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Protective-serv, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Farming-fishing, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Transport-moving, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Other-service, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Tech-support, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Exec-managerial, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  ?, *, Asian-Pac-Islander/Amer-Indian-Eskimo, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Handlers-cleaners, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  Handlers-cleaners, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, K-12 Education, *, Not Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Machine-op-inspct, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Exec-managerial, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, K-12 Education, *, Married,  Other-service, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Other-service, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, K-12 Education, *, Not Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Transport-moving, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, K-12 Education, *, Married,  Exec-managerial, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, K-12 Education, *, Married,  Machine-op-inspct, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Exec-managerial, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Other-service, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Other-service, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Other-service, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  ?, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Tech-support, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Machine-op-inspct, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Other-service, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, K-12 Education, *, Not Married,  ?, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, K-12 Education, *, Not Married,  ?, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, K-12 Education, *, Not Married,  Other-service, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, K-12 Education, *, Married,  Machine-op-inspct, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, K-12 Education, *, Married,  Transport-moving, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  Tech-support, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Tech-support, *, Asian-Pac-Islander/Amer-Indian-Eskimo, *, *, *, *, *, *
26-50, *, *, K-12 Education, *, Married,  Machine-op-inspct, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  Other-service, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, K-12 Education, *, Married,  Machine-op-inspct, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Farming-fishing, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  ?, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Exec-managerial, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Handlers-cleaners, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Other-service, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Tech-support, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  Other-service, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, K-12 Education, *, Married,  Other-service, *, Asian-Pac-Islander/Amer-Indian-Eskimo, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Machine-op-inspct, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Married,  Machine-op-inspct, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Transport-moving, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Other-service, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  ?, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Machine-op-inspct, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Tech-support, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Exec-managerial, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Machine-op-inspct, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Exec-managerial, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Handlers-cleaners, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Handlers-cleaners, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, K-12 Education, *, Not Married,  Transport-moving, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Exec-managerial, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  ?, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Protective-serv, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Exec-managerial, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Exec-managerial, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Exec-managerial, *, Asian-Pac-Islander/Amer-Indian-Eskimo, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, K-12 Education, *, Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Farming-fishing, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  Farming-fishing, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Exec-managerial, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  ?, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Protective-serv, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Exec-managerial, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, K-12 Education, *, Married,  Other-service, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Other-service, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Tech-support, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  ?, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, K-12 Education, *, Not Married,  ?, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Transport-moving, *, Asian-Pac-Islander/Amer-Indian-Eskimo, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Other-service, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Exec-managerial, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Tech-support, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Exec-managerial, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Other-service, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Exec-managerial, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Married,  Exec-managerial, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, K-12 Education, *, Not Married,  Machine-op-inspct, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Other-service, *, Asian-Pac-Islander/Amer-Indian-Eskimo, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Machine-op-inspct, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Married,  Transport-moving, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, K-12 Education, *, Married,  Farming-fishing, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, K-12 Education, *, Not Married,  ?, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  Exec-managerial, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Machine-op-inspct, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, K-12 Education, *, Not Married,  ?, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  ?, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  Exec-managerial, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Married,  Farming-fishing, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, K-12 Education, *, Not Married,  Farming-fishing, *, Asian-Pac-Islander/Amer-Indian-Eskimo, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Handlers-cleaners, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Machine-op-inspct, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, K-12 Education, *, Not Married,  Priv-house-serv, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Machine-op-inspct, *, Asian-Pac-Islander/Amer-Indian-Eskimo, *, *, *, *, *, *
0-25, *, *, K-12 Education, *, Not Married,  Other-service, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Exec-managerial, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Exec-managerial, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Other-service, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Machine-op-inspct, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, K-12 Education, *, Not Married,  Farming-fishing, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Prof-specialty, *, Asian-Pac-Islander/Amer-Indian-Eskimo, *, *, *, *, *, *
0-25, *, *, K-12 Education, *, Not Married,  Handlers-cleaners, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  ?, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, K-12 Education, *, Not Married,  Other-service, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Transport-moving, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, K-12 Education, *, Married,  Farming-fishing, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Exec-managerial, *, Asian-Pac-Islander/Amer-Indian-Eskimo, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Exec-managerial, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Exec-managerial, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Other-service, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, K-12 Education, *, Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, K-12 Education, *, Not Married,  Transport-moving, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Exec-managerial, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Tech-support, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, K-12 Education, *, Not Married,  Other-service, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Handlers-cleaners, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Other-service, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Other-service, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Prof-specialty, *, Asian-Pac-Islander/Amer-Indian-Eskimo, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Farming-fishing, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Handlers-cleaners, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Tech-support, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Machine-op-inspct, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Craft-repair, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Exec-managerial, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, K-12 Education, *, Not Married,  ?, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Handlers-cleaners, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Prof-specialty, *, Asian-Pac-Islander/Amer-Indian-Eskimo, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Machine-op-inspct, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, K-12 Education, *, Not Married,  Other-service, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Married,  Tech-support, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  Prof-specialty, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, K-12 Education, *, Married,  Machine-op-inspct, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  Transport-moving, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  ?, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Sales, *, White/Black/Other, *, *, *, *, *, *
>75, *, *, K-12 Education, *, Not Married,  Protective-serv, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Married,  Transport-moving, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Other-service, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Not Married,  ?, *, White/Black/Other, *, *, *, *, *, *
51-75, *, *, Higher Education, *, Married,  ?, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Tech-support, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Married,  Other-service, *, White/Black/Other, *, *, *, *, *, *
0-25, *, *, Higher Education, *, Not Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
26-50, *, *, Higher Education, *, Not Married,  Adm-clerical, *, White/Black/Other, *, *, *, *, *, *
